,line_number,mean,distance,gradient
0,0,686.9816237229564,0.0,
1,0,685.5256097774136,32.14089632777585,-0.04530097514065209
2,0,684.0562149486243,64.2817926555517,-0.04571729468289452
3,0,682.5640036200239,96.42268898332755,-0.04642718464919968
4,0,681.0671147301421,128.5635853111034,-0.04657271765592316
5,0,679.6186632186423,160.70448163887926,-0.04506568506143555
6,0,678.1671808223355,192.8453779666551,-0.04515998500802371
7,0,676.6767907341504,224.98627429443093,-0.04637052037958035
8,0,675.236777064312,257.1271706222068,-0.044803158417018873
9,0,673.685709658986,289.26806694998265,-0.0482583743000864
10,0,672.1607193261855,321.4089632777585,-0.04744703810523798
11,0,670.5514934352416,353.5498596055343,-0.05006785979248545
12,0,668.8671477903804,385.6907559333102,-0.05240506137987198
13,0,667.2512302628484,417.83165226108605,-0.05027605674256068
14,0,665.4040395968265,449.97254858886186,-0.05747166000549836
15,0,663.6486940782886,482.1134449166377,-0.054614081095831546
16,0,661.6784617795315,514.2543412444136,-0.06129985544474147
17,0,659.7439483220543,546.3952375721894,-0.060188534810880455
18,0,657.9096158580147,578.5361338999653,-0.05707160265018338
19,0,655.9579206256569,610.6770302277412,-0.06072311152913168
20,0,653.915909446964,642.817926555517,-0.06353311238953491
21,0,651.932057074261,674.9588228832928,-0.06172361692939183
22,0,649.9797924589305,707.0997192110686,-0.060740826746743484
23,0,648.0263535950587,739.2406155388445,-0.06077736115229913
24,0,646.1411599235191,771.3815118666204,-0.05865404786208204
25,0,644.3652525671123,803.5224081943962,-0.05525382174460737
26,0,642.4356096178184,835.6633045221721,-0.06003699864544
27,0,640.6889895110345,867.804200849948,-0.054342607280509506
28,0,638.8494351796725,899.9450971777237,-0.05723407065571798
29,0,637.1239856143313,932.0859935054996,-0.05368392803190181
30,0,635.304575455318,964.2268898332754,-0.0566073248380777
31,0,633.3323670259879,996.3677861610513,-0.06136133881324594
32,0,631.4958000837911,1028.5086824888272,-0.05714112398942771
33,0,629.5009545522103,1060.649578816603,-0.06206564718162228
34,0,627.462877676868,1092.790475144379,-0.06341070437357485
35,0,625.4036464955341,1124.9313714721548,-0.06406887848844162
36,0,623.3458090137684,1157.0722677999306,-0.06402551630109007
37,0,621.2442012797434,1189.2131641277065,-0.06538734055804311
38,0,619.1226236161983,1221.3540604554823,-0.06600866515697032
39,0,616.9233218377476,1253.4949567832582,-0.06842689625149319
40,0,614.6609516187089,1285.635853111034,-0.07038914521757249
41,0,612.516118395383,1317.7767494388097,-0.0667322156001068
42,0,610.1793515697462,1349.9176457665856,-0.07270384751583261
43,0,607.7262403248176,1382.0585420943614,-0.0763236724922543
44,0,605.2378492008976,1414.1994384221373,-0.07742133568843727
45,0,602.70929858064,1446.3403347499132,-0.07867081846352815
46,0,600.2037628566754,1478.481231077689,-0.07795475578567958
47,0,597.6526339456917,1510.6221274054649,-0.07937329702840487
48,0,594.9948504722284,1542.7630237332407,-0.08269164140162566
49,0,592.3180327052477,1574.9039200610166,-0.08328385554909042
50,0,589.6855197416958,1607.0448163887925,-0.08190539979673529
51,0,587.1805632835213,1639.1857127165683,-0.07793673308387711
52,0,584.6013902333389,1671.3266090443442,-0.08024583458656001
53,0,581.9939011165073,1703.46750537212,-0.08112683262595102
54,0,579.4037400843563,1735.608401699896,-0.0805877037695637
55,0,576.6409425520361,1767.7492980276718,-0.08595894477070305
56,0,573.9960292013069,1799.8901943554474,-0.08229121315585468
57,0,571.5300584377728,1832.0310906832233,-0.07672377081167474
58,0,569.0284280215992,1864.1719870109991,-0.07783324990883113
59,0,566.4898494382743,1896.312883338775,-0.0789828185697206
60,0,564.0290270212727,1928.4537796665509,-0.07656359025914915
61,0,561.5647559901245,1960.5946759943267,-0.07667088702248172
62,0,559.0211897239791,1992.7355723221026,-0.0791380003907125
63,0,556.6592663934907,2024.8764686498785,-0.07348654208025973
64,0,554.3107906352122,2057.0173649776543,-0.07306814764369068
65,0,551.9155345243566,2089.15826130543,-0.07452362517922813
66,0,549.4414106177052,2121.299157633206,-0.07697743962769812
67,0,546.9637302377055,2153.440053960982,-0.07708809221535333
68,0,544.5063153435202,2185.580950288758,-0.07645757197074768
69,0,542.1414399988511,2217.7218466165336,-0.07357838812433619
70,0,539.7765658899028,2249.8627429443095,-0.07357834967734053
71,0,537.5831406537225,2282.0036392720854,-0.0682440593383459
72,0,535.2945018095129,2314.1445355998612,-0.07120644119161518
73,0,533.2548556857639,2346.285431927637,-0.06345952841353517
74,0,531.0288660386029,2378.426328255413,-0.06925723615359497
75,0,529.0823436063879,2410.567224583189,-0.060562170151205984
76,0,526.8091215245864,2442.7081209109647,-0.07072677932248475
77,0,524.5731057559742,2474.8490172387405,-0.06956917896156727
78,0,522.4446590647977,2506.9899135665164,-0.06622238127618986
79,0,520.2126803927952,2539.1308098942923,-0.06944357273800507
80,0,517.998843769838,2571.271706222068,-0.06887911900092168
81,0,515.9923626308848,2603.4126025498435,-0.06242766593970881
82,0,514.0068790211398,2635.5534988776194,-0.06177436962233184
83,0,512.2439014579231,2667.6943952053953,-0.05485153697139038
84,0,510.2283899266744,2699.835291533171,-0.06270862861739544
85,0,508.26824951171875,2731.976187860947,-0.06098586657216959
86,0,506.3179013185298,2764.117084188723,-0.06068120108721111
87,0,504.37326061060594,2796.2579805164987,-0.06050362404620614
88,0,502.50309713263255,2828.3988768442746,-0.05818641331284885
89,0,500.83437057779327,2860.5397731720504,-0.05191910448985157
90,0,499.0625757444599,2892.6806694998263,-0.05512586877679013
91,0,497.26906862344435,2924.821565827602,-0.055801403381074685
92,0,495.58744954314386,2956.962462155378,-0.052320229751877
93,0,493.9489501080591,2989.103358483154,-0.05097864783779555
94,0,492.6902017705219,3021.2442548109298,-0.03916344848321351
95,0,491.37467047471404,3053.3851511387056,-0.040930137180742426
96,0,490.33294155658535,3085.5260474664815,-0.032411321311796484
97,0,488.9592523598949,3117.6669437942573,-0.04273960448026878
98,0,487.6550621020435,3149.807840122033,-0.04057728336357402
99,0,487.2291744718871,3181.948736449809,-0.013250645713582827
